Functional_Type,Morphotype,Order,Family,Genus,Species,H8,H39,H40,H42,OTI1,OTI8,OTI20,OTI25,OTI33,OTI34,OTI36,OTI38,OTI39,OTI43,OTI47,OTI51,OTI52,OTI53,OTI54,W1,W2,W7,W12,W15,W20,W21
Heterotrophic,Plano.convex,Rotaliida,Glabratellidae,Pileolina,Pileolina? minogasaformis,0,0,0,0,1,0,1,0,1,0,0,0,0,4,3,2,3,5,6,0,0,1,5,0,0,0
Heterotrophic,Rounded.planispiral,Spirillinida,Planispirillinidae,Planispirillina,Planispirillina inaequalis,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Rounded.planispiral,Spirillinida,Planispirillinidae,Planispirillina,Planispirillina spinigera,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Sigmoihauerina,Pseudohauerina involuta,2,0,0,0,0,1,3,1,2,8,6,6,12,6,6,3,3,14,0,4,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Pseudomassilina,Pseudomassilina macilenta,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Ptychomiliola,Ptychomiliola? sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Pyrgo,Pyrgo sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Pyrgo,Pyrgo sp. 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina cf. Q. agglutinans,2,1,1,2,5,2,1,9,0,0,3,0,0,2,1,0,3,5,1,4,0,4,3,3,0,4
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina baccaerti,19,16,15,13,12,37,10,22,54,58,35,41,20,22,16,8,2,6,13,22,25,24,25,34,22,48
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina bosciana,28,36,3,1,18,14,20,30,18,25,16,13,8,24,12,18,12,12,17,42,43,39,26,20,35,26
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina latidentella,0,0,0,0,2,0,0,0,0,0,0,9,0,4,3,0,0,4,6,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Varidentella,Quinqueloculina neostriatula,41,24,85,81,59,36,35,74,35,15,30,49,41,28,19,38,42,53,18,18,18,18,46,35,14,50
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina parkeri,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,4,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina cf. Q. parkeri,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina cf. Q. patagonica,28,36,3,1,19,15,20,30,18,26,17,13,9,24,13,19,11,15,17,43,43,40,26,20,35,26
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina rariformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina seminula,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,18,10,0,0,4,9,5,0,6
Heterotrophic,Milioline,Miliolida,Hauerinidae,Pseudotriloculina,Quinqueloculina subgranulata,7,30,9,5,0,5,3,4,4,3,3,4,7,7,4,4,12,11,10,39,30,21,9,9,9,2
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina subparkeri,4,7,7,5,1,1,3,0,0,2,5,3,4,2,2,1,10,2,3,3,0,3,0,3,2,2
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina subpolygona,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,8,7,0,3,7,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina transversestriata,19,10,4,3,9,8,7,9,5,4,6,2,3,2,7,5,13,13,9,3,0,0,0,5,8,4
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina cf. Q. victoriensis,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 2,22,14,8,5,23,14,2,8,12,7,15,20,12,13,10,17,3,7,0,5,11,7,24,34,18,20
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 3,4,3,3,6,2,1,1,6,2,2,1,2,1,2,3,2,8,5,2,5,3,7,0,3,0,2
Heterotrophic,Milioline,Miliolida,Hauerinidae,Quinqueloculina,Quinqueloculina sp. 4,7,1,1,2,3,0,3,2,1,2,3,4,0,0,2,5,2,6,0,4,5,0,3,3,0,0
